,proto_enum,service_string,conn_state_string,id.resp_pport,orig_bytes_count,resp_bytes_count,missed_bytes_count,orig_pkts_count,orig_ip_bytes_count,resp_pkts_count,resp_bytes
0,1.0,3.0,4.0,125.0,418.0,57.0,159.0,118.0,22.0,17.0,18.0
1,2.0,3.0,2.0,141.0,451.0,57.0,159.0,127.0,22.0,17.0,18.0
2,2.0,3.0,2.0,141.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
3,1.0,1.0,0.0,125.0,418.0,57.0,159.0,118.0,22.0,17.0,18.0
4,1.0,3.0,4.0,125.0,418.0,57.0,159.0,127.0,22.0,17.0,18.0
5,2.0,3.0,2.0,141.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
6,2.0,3.0,2.0,141.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
7,2.0,3.0,2.0,249.0,451.0,94.0,314.0,64.0,71.0,77.0,12.0
8,2.0,3.0,2.0,141.0,451.0,57.0,177.0,118.0,22.0,17.0,18.0
9,2.0,1.0,2.0,141.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
10,2.0,3.0,2.0,255.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
11,1.0,0.0,4.0,125.0,418.0,57.0,159.0,118.0,22.0,17.0,18.0
12,2.0,3.0,2.0,249.0,451.0,42.0,177.0,118.0,22.0,17.0,18.0
13,0.0,3.0,2.0,141.0,451.0,1.0,159.0,118.0,22.0,17.0,18.0
14,1.0,3.0,2.0,141.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
15,1.0,2.0,4.0,125.0,418.0,57.0,159.0,118.0,22.0,4.0,18.0
16,2.0,1.0,2.0,141.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
17,1.0,1.0,0.0,125.0,418.0,57.0,159.0,127.0,22.0,17.0,18.0
18,1.0,3.0,4.0,125.0,418.0,57.0,159.0,118.0,22.0,17.0,34.0
19,2.0,3.0,1.0,249.0,451.0,57.0,177.0,118.0,22.0,17.0,18.0
20,2.0,3.0,4.0,141.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
21,2.0,2.0,2.0,141.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
22,1.0,0.0,5.0,125.0,418.0,42.0,177.0,118.0,22.0,17.0,18.0
23,1.0,3.0,2.0,141.0,451.0,57.0,159.0,136.0,22.0,4.0,18.0
24,2.0,3.0,3.0,266.0,451.0,1.0,159.0,27.0,22.0,17.0,18.0
25,1.0,3.0,0.0,172.0,418.0,1.0,159.0,32.0,22.0,17.0,18.0
26,2.0,3.0,2.0,115.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
27,2.0,3.0,4.0,125.0,418.0,57.0,159.0,127.0,22.0,17.0,18.0
28,0.0,3.0,2.0,249.0,451.0,57.0,177.0,118.0,22.0,17.0,18.0
29,2.0,1.0,2.0,141.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
30,1.0,0.0,4.0,125.0,418.0,42.0,177.0,140.0,22.0,17.0,18.0
31,2.0,3.0,2.0,249.0,451.0,58.0,159.0,118.0,22.0,17.0,18.0
32,0.0,3.0,2.0,141.0,451.0,57.0,239.0,118.0,22.0,17.0,18.0
33,1.0,2.0,5.0,125.0,418.0,57.0,159.0,118.0,22.0,17.0,18.0
34,1.0,3.0,0.0,125.0,418.0,57.0,159.0,118.0,22.0,17.0,34.0
35,2.0,3.0,4.0,125.0,418.0,57.0,177.0,118.0,22.0,17.0,18.0
36,2.0,0.0,4.0,141.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
37,2.0,2.0,2.0,258.0,451.0,42.0,177.0,118.0,22.0,17.0,18.0
38,1.0,0.0,5.0,125.0,418.0,75.0,159.0,136.0,22.0,4.0,18.0
39,1.0,3.0,2.0,141.0,451.0,1.0,159.0,6.0,22.0,17.0,18.0
40,2.0,3.0,3.0,266.0,451.0,1.0,185.0,32.0,22.0,17.0,18.0
41,1.0,3.0,4.0,125.0,418.0,57.0,206.0,127.0,22.0,17.0,18.0
42,2.0,3.0,4.0,141.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
43,1.0,3.0,4.0,125.0,418.0,57.0,159.0,118.0,22.0,17.0,18.0
44,2.0,1.0,2.0,249.0,451.0,57.0,177.0,118.0,22.0,17.0,18.0
45,2.0,3.0,2.0,141.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
46,2.0,3.0,2.0,255.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
47,1.0,0.0,2.0,125.0,418.0,42.0,177.0,118.0,22.0,17.0,18.0
48,0.0,2.0,2.0,141.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
49,1.0,3.0,2.0,236.0,451.0,57.0,159.0,118.0,22.0,4.0,18.0
50,1.0,3.0,4.0,125.0,418.0,218.0,159.0,127.0,22.0,17.0,18.0
51,2.0,3.0,1.0,141.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
52,2.0,3.0,2.0,141.0,451.0,57.0,159.0,118.0,250.0,17.0,18.0
53,1.0,1.0,0.0,125.0,418.0,57.0,118.0,127.0,22.0,17.0,18.0
54,1.0,3.0,4.0,125.0,418.0,57.0,159.0,118.0,22.0,53.0,18.0
55,2.0,0.0,2.0,141.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
56,2.0,3.0,0.0,141.0,451.0,94.0,314.0,64.0,71.0,77.0,12.0
57,2.0,3.0,2.0,249.0,451.0,57.0,44.0,118.0,22.0,17.0,18.0
58,2.0,3.0,2.0,141.0,451.0,57.0,159.0,118.0,22.0,102.0,18.0
59,1.0,1.0,2.0,141.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
60,2.0,3.0,2.0,255.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
61,1.0,0.0,4.0,125.0,418.0,42.0,177.0,118.0,128.0,17.0,18.0
62,2.0,3.0,2.0,249.0,451.0,1.0,159.0,118.0,22.0,17.0,182.0
63,0.0,3.0,2.0,233.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
64,1.0,3.0,4.0,141.0,451.0,57.0,159.0,118.0,22.0,4.0,18.0
65,1.0,2.0,4.0,125.0,418.0,57.0,159.0,118.0,22.0,17.0,272.0
66,2.0,1.0,2.0,141.0,451.0,57.0,284.0,127.0,22.0,17.0,18.0
67,1.0,1.0,0.0,125.0,418.0,57.0,17.0,118.0,22.0,17.0,34.0
68,1.0,3.0,4.0,125.0,233.0,57.0,177.0,118.0,22.0,17.0,18.0
69,2.0,3.0,1.0,115.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
70,2.0,3.0,4.0,141.0,451.0,57.0,159.0,118.0,89.0,17.0,18.0
71,2.0,2.0,2.0,87.0,451.0,42.0,177.0,118.0,22.0,17.0,18.0
72,1.0,0.0,5.0,125.0,418.0,96.0,159.0,136.0,22.0,4.0,18.0
73,1.0,3.0,2.0,141.0,451.0,1.0,159.0,75.0,22.0,17.0,18.0
74,2.0,3.0,2.0,266.0,451.0,1.0,159.0,32.0,22.0,17.0,18.0
75,1.0,3.0,0.0,172.0,418.0,57.0,159.0,118.0,22.0,17.0,106.0
76,2.0,3.0,2.0,115.0,451.0,57.0,159.0,142.0,22.0,17.0,18.0
77,2.0,3.0,4.0,8.0,418.0,57.0,177.0,118.0,22.0,17.0,18.0
78,0.0,3.0,2.0,158.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
79,2.0,1.0,2.0,141.0,451.0,42.0,177.0,140.0,22.0,17.0,97.0
80,1.0,0.0,4.0,125.0,418.0,58.0,159.0,118.0,47.0,17.0,18.0
81,2.0,3.0,2.0,249.0,451.0,57.0,239.0,118.0,101.0,17.0,18.0
82,0.0,3.0,2.0,141.0,451.0,57.0,159.0,118.0,22.0,17.0,108.0
83,1.0,2.0,5.0,125.0,418.0,57.0,101.0,118.0,22.0,17.0,34.0
84,1.0,3.0,0.0,125.0,418.0,57.0,177.0,118.0,22.0,128.0,18.0
85,0.0,3.0,4.0,125.0,418.0,57.0,159.0,118.0,22.0,17.0,18.0
86,2.0,0.0,4.0,141.0,451.0,62.0,177.0,118.0,22.0,17.0,18.0
87,2.0,2.0,2.0,258.0,451.0,75.0,159.0,136.0,22.0,4.0,251.0
88,1.0,0.0,5.0,125.0,418.0,1.0,159.0,6.0,33.0,17.0,18.0
89,1.0,3.0,2.0,141.0,451.0,192.0,185.0,32.0,22.0,17.0,18.0
90,2.0,0.0,3.0,266.0,451.0,57.0,206.0,127.0,22.0,17.0,18.0
91,1.0,3.0,4.0,266.0,418.0,57.0,159.0,118.0,22.0,17.0,18.0
92,2.0,3.0,4.0,141.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
93,1.0,3.0,4.0,125.0,418.0,57.0,177.0,118.0,22.0,17.0,8.0
94,2.0,1.0,5.0,249.0,451.0,57.0,159.0,118.0,22.0,17.0,18.0
95,2.0,3.0,2.0,141.0,451.0,57.0,159.0,118.0,22.0,121.0,18.0
96,2.0,3.0,2.0,255.0,451.0,176.0,177.0,118.0,22.0,17.0,18.0
97,1.0,3.0,2.0,125.0,418.0,57.0,159.0,118.0,22.0,17.0,18.0
98,0.0,2.0,2.0,141.0,451.0,163.0,159.0,118.0,22.0,4.0,18.0
99,1.0,3.0,2.0,236.0,451.0,57.0,44.0,118.0,22.0,17.0,18.0
